,Title,Release Year,Runtime,Gross Worldwide Boxoffice
640,Black Hawk Down,2002,144,172989651
641,Short Cuts,1993,188,6110979
642,A Very Long Engagement,2005,133,69424389
643,21 Grams,2004,124,60466876
644,Ex Machina,2015,108,37394629
645,Love Me If You Dare,2004,93,8604201
646,The Last King of Scotland,2007,123,48618191
647,The Last Samurai,2003,154,454627263
648,Enter the Dragon,1973,102,115762
649,Delicatessen,1992,99,1804142
650,Mysterious Skin,2005,105,1532932
651,50/50,2011,100,41097853
652,Stardust,2007,127,137515140
653,Titanic,1997,194,2264750694
654,Cast Away,2000,143,429632142
655,Frost/Nixon,2009,122,27426335
656,Dead Man,1996,121,1085079
657,Despicable Me,2010,95,544174973
658,Fear and Loathing in Las Vegas,1998,118,10680275
659,Kick-Ass,2010,117,96188903
660,Malcolm X,1992,202,48169910
661,The Great Beauty,2014,141,25368330
662,Zombieland,2009,88,102392080
663,The Station Agent,2003,89,8701337
664,Brokeback Mountain,2006,134,178064141
665,Sympathy for Mr. Vengeance,2002,129,2046923
666,Training Day,2001,122,104876233
667,25th Hour,2003,135,23936003
668,Ponyo,2009,101,205909928
669,Shine,1997,105,35999121
670,Forbidden Planet,1958,98,Data not available
671,Harry Potter and the Deathly Hallows: Part 1,2010,146,960897696
672,Le Dîner de Cons,1998,80,4071548
673,Gone Baby Gone,2007,114,34612443
674,The Blind Side,2009,129,309231694
675,The Butterfly Effect,2004,113,96822421
676,The Sweet Hereafter,1997,112,3263585
677,Close Encounters of the Third Kind,1977,138,306889114
678,Philadelphia,1994,125,206678440
679,The Warriors,1979,93,22495288
680,Three Colors: White,1994,92,1266582
681,Match Point,2006,124,85638656
682,Primal Fear,1996,129,102616183
683,Billy Elliot,2000,110,109283018
684,The Producers,1968,88,375524
685,This Is England,2007,101,8481254
686,The Visitor,2008,104,18197518
687,The City of Lost Children,1995,112,1783616
688,Sense and Sensibility,1996,136,134582776
689,Avengers: Age of Ultron,2015,141,1405018048
690,Love Actually,2003,135,250215630
691,Boy A,2008,106,1202375
692,Show Me Love,1998,89,219331
693,Where Eagles Dare,1969,158,7100435
694,Dazed and Confused,1993,103,8154446
695,Coraline,2009,100,185860104
696,After Hours,1985,97,10629668
697,Shane,1953,118,21412
698,Sophie's Choice,1983,150,30036166
699,Fearless,2006,104,68072848
